RowType,Month,DocNumber,Account,Class,Amount,Memo
Line,2025-10,COGS-CORR-Oct2025,13100 Inventory (Credit),,2959.60,Relieves inventory for Oct 2025 COGS correction
JE Header,2025-11,COGS-CORR-Nov2025,,,2787.12,"COGS correction for Nov 2025: true FIFO inventory cost was $11.00/unit (validated against 8/3/2026 physical count of 2,267 units), vs. $7.08/unit posted rate baseline. Restates COGS by channel for units sold this month."
Line,2025-11,COGS-CORR-Nov2025,51100 Bulk Olive Oil - Raw (Debit),DTC,1042.72,"DTC: 266 units x ($11.00 true - $7.08 posted) = $1,042.72 understatement"
Line,2025-11,COGS-CORR-Nov2025,51100 Bulk Olive Oil - Raw (Debit),TikTok,1509.20,"TikTok: 385 units x ($11.00 true - $7.08 posted) = $1,509.20 understatement"
Line,2025-11,COGS-CORR-Nov2025,51100 Bulk Olive Oil - Raw (Debit),Wholesale,235.20,Wholesale: 60 units x ($11.00 true - $7.08 posted) = $235.20 understatement
Line,2025-11,COGS-CORR-Nov2025,13100 Inventory (Credit),,2787.12,Relieves inventory for Nov 2025 COGS correction
JE Header,2025-12,COGS-CORR-Dec2025,,,2124.64,"COGS correction for Dec 2025: true FIFO inventory cost was $11.00/unit (validated against 8/3/2026 physical count of 2,267 units), vs. $7.08/unit posted rate baseline. Restates COGS by channel for units sold this month."
Line,2025-12,COGS-CORR-Dec2025,51100 Bulk Olive Oil - Raw (Debit),DTC,709.52,DTC: 181 units x ($11.00 true - $7.08 posted) = $709.52 understatement
Line,2025-12,COGS-CORR-Dec2025,51100 Bulk Olive Oil - Raw (Debit),TikTok,1415.12,"TikTok: 361 units x ($11.00 true - $7.08 posted) = $1,415.12 understatement"
Line,2025-12,COGS-CORR-Dec2025,13100 Inventory (Credit),,2124.64,Relieves inventory for Dec 2025 COGS correction
JE Header,2026-01,COGS-CORR-Jan2026,,,2152.08,"COGS correction for Jan 2026: true FIFO inventory cost was $11.00/unit (validated against 8/3/2026 physical count of 2,267 units), vs. $7.08/unit posted rate baseline. Restates COGS by channel for units sold this month."
Line,2026-01,COGS-CORR-Jan2026,51100 Bulk Olive Oil - Raw (Debit),DTC,713.44,DTC: 182 units x ($11.00 true - $7.08 posted) = $713.44 understatement
Line,2026-01,COGS-CORR-Jan2026,51100 Bulk Olive Oil - Raw (Debit),TikTok,1438.64,"TikTok: 367 units x ($11.00 true - $7.08 posted) = $1,438.64 understatement"
Line,2026-01,COGS-CORR-Jan2026,13100 Inventory (Credit),,2152.08,Relieves inventory for Jan 2026 COGS correction
JE Header,2026-02,COGS-CORR-Feb2026,,,1818.88,"COGS correction for Feb 2026: true FIFO inventory cost was $11.00/unit (validated against 8/3/2026 physical count of 2,267 units), vs. $7.08/unit posted rate baseline. Restates COGS by channel for units sold this month."
Line,2026-02,COGS-CORR-Feb2026,51100 Bulk Olive Oil - Raw (Debit),DTC,682.08,DTC: 174 units x ($11.00 true - $7.08 posted) = $682.08 understatement
Line,2026-02,COGS-CORR-Feb2026,51100 Bulk Olive Oil - Raw (Debit),TikTok,1136.80,"TikTok: 290 units x ($11.00 true - $7.08 posted) = $1,136.80 understatement"
Line,2026-02,COGS-CORR-Feb2026,13100 Inventory (Credit),,1818.88,Relieves inventory for Feb 2026 COGS correction
JE Header,2026-03,COGS-CORR-Mar2026,,,1717.40,"COGS correction for Mar 2026: true FIFO inventory cost was $10.18/unit (validated against 8/3/2026 physical count of 2,267 units), vs. $7.08/unit posted rate baseline. Restates COGS by channel for units sold this month."
